mcu_pin,mcu_pin_info,other_type,other_pin
GND,,Taojingchi,GND
PA2,USART2_TX,Taojingchi,RX
PA3,USART2_RX,Taojingchi,TX
5V,,Taojingchi,5V
PG0,,MatrixKeyboard,LineC4
PG2,,MatrixKeyboard,LineC3
PG4,,MatrixKeyboard,LineC2
PD11,,MatrixKeyboard,LineC1
PD13,,MatrixKeyboard,LineR1
PE11,,MatrixKeyboard,LineR2
PE13,,MatrixKeyboard,LineR3
PE15,,MatrixKeyboard,LineR4
GND,,AD9959,GND
PB9,,AD9959,P0
PB0,,AD9959,P2
PB1,,AD9959,UD
PG15,,AD9959,CLK
PG10,,AD9959,SD1
PG8,,AD9959,SD3
PC11,,AD9959,PDC
PD4,,AD9959,P1
PE0,,AD9959,P3
PF11,,AD9959,CS
PG9,,AD9959,SD0
PF9,,AD9959,SD2
PG11,,AD9959,RST
